X,Y
0.0,31.401212390271787
1.0,40.84625744695963
2.0,46.8424919970334
3.0,38.913062524314064
4.0,10.596067448251366
5.0,28.0822695959951
6.0,34.10854630385677
7.0,16.58611630981114
8.0,39.31855325039139
9.0,33.0622541333806
10.0,14.742893702151648
11.0,14.512018807166925
12.0,26.896611499264644
13.0,59.73101715855898
14.0,40.82974615934389
15.0,34.29511943640571
16.0,59.654056229572085
17.0,25.43147469365458
18.0,84.53288273542697
19.0,61.492348098418105
20.0,55.82166570640838
21.0,63.53704144831995
22.0,42.10168002025157
23.0,77.7845085828601
24.0,69.37997229268377
25.0,88.67703015687319
26.0,67.97415829855295
27.0,48.969950981648495
28.0,91.74375896123627
29.0,66.29585008707052
30.0,91.26828077137904
31.0,92.2973269931121
32.0,79.83515499557762
33.0,100.11580408335526
34.0,97.580734019766
35.0,79.41911471897487
36.0,122.43534663067277
37.0,91.74314303138951
38.0,105.86051265228605
39.0,95.48073875824444
40.0,83.84205779810985
41.0,126.21435058408599
42.0,139.18038285445834
43.0,105.58793220272536
44.0,137.48988033920833
45.0,128.38580270590782
46.0,128.4287024836097
47.0,137.49512931233198
48.0,139.4051606480844
49.0,124.46116565214035
50.0,123.37154132656019
51.0,142.78523358997012
52.0,161.34911260789426
53.0,153.33707702546326
54.0,147.45379059739963
55.0,159.2993974857177
56.0,118.51130159526743
57.0,172.193328582945
58.0,137.70017401441237
59.0,153.30487281184182
60.0,129.4595886640576
61.0,168.04016088545384
62.0,163.8135732410045
63.0,143.22420194880775
64.0,169.63186736708167
65.0,166.48056674347677
66.0,145.70730059240373
67.0,172.7969228772167
68.0,188.7188231129278
69.0,199.7605221264688
70.0,188.79703694935256
71.0,155.4630763969948
72.0,173.6184714333916
73.0,180.12212052892238
74.0,196.03794832834632
75.0,232.09114891265
76.0,248.6411340833796
77.0,194.11122115211415
78.0,188.28292710829447
79.0,210.86686247071958
80.0,197.89330998674538
81.0,204.54991702160603
82.0,235.41690958196654
83.0,210.96471288366524
84.0,241.76637152544367
85.0,214.95561848668007
86.0,215.28600483269358
87.0,223.50982110465873
88.0,263.48243649835985
89.0,242.0693796034586
90.0,221.0268588387126
91.0,240.14712935686293
92.0,226.5395989441975
93.0,248.79858706316122
94.0,242.09843689891977
95.0,288.2522671325041
96.0,235.92336181950947
97.0,257.44286036311576
98.0,260.92077157780125
99.0,272.7104937120013
